1759334410762656541, 0, 9321484, 1000000
1759334410769165473, 1, 6501058, 1000000
1759334410775770816, 2, 6605186, 1000000
1759334410782249784, 3, 6478843, 1000000
1759334410788806285, 4, 6556413, 1000000
1759334410795391797, 5, 6585402, 1000000
1759334410801913069, 6, 6521155, 1000000
1759334410808493646, 7, 6580459, 1000000
1759334410815030693, 8, 6536971, 1000000
1759334410821544112, 9, 6513345, 1000000
1759334410828020786, 10, 6476588, 1000000
1759334410834451703, 11, 6430829, 1000000
1759334410840888787, 12, 6436986, 1000000
1759334410847428076, 13, 6539158, 1000000
1759334410853977042, 14, 6548877, 1000000
1759334410860554068, 15, 6576911, 1000000
1759334410867124239, 16, 6570056, 1000000
1759334410873614871, 17, 6490517, 1000000
1759334410880168467, 18, 6553483, 1000000
1759334410886680872, 19, 6512323, 1000000
1759334410893468889, 20, 6787905, 1000000
1759334410900717103, 21, 7248108, 1000000
1759334410907966299, 22, 7249083, 1000000
1759334410915214033, 23, 7247628, 1000000
1759334410922444964, 24, 7230821, 1000000
1759334410929694089, 25, 7249022, 1000000
1759334410936793472, 26, 7099299, 1000000
1759334410943998929, 27, 7205345, 1000000
1759334410950993309, 28, 6994294, 1000000
1759334410957920523, 29, 6927148, 1000000
1759334410964962569, 30, 7041944, 1000000
1759334410971982852, 31, 7020182, 1000000
1759334410978999727, 32, 7016734, 1000000
1759334410986026686, 33, 7026823, 1000000
1759334410993031756, 34, 7004986, 1000000
1759334411001370878, 0, 6621237, 1000000
1759334411007862559, 1, 6491332, 1000000
1759334411014341172, 2, 6478512, 1000000
1759334411020820763, 3, 6479492, 1000000
1759334411027264866, 4, 6444007, 1000000
1759334411033742778, 5, 6477797, 1000000
1759334411040219743, 6, 6476857, 1000000
1759334411046695465, 7, 6475648, 1000000
1759334411053167087, 8, 6471489, 1000000
1759334411059624949, 9, 6457793, 1000000
1759334411066089874, 10, 6464862, 1000000
1759334411072547036, 11, 6457082, 1000000
1759334411079003890, 12, 6456759, 1000000
1759334411085461812, 13, 6457845, 1000000
1759334411091934022, 14, 6472125, 1000000
