B::PrintfTrace.List_MESSAGE
_____record_|message
-0000063264 |
-0000063238 |{"timestamp":142166280,"fuel":25000000,"run_idx":0,"refuel_idx":0,"intruder_break":false,"intruder_set_mask":1023,"dt":2300283,"df":25000000,"acc_t":2300283,"acc_f":25000000,"perf_info":{"cycles":2391145702,"instr":2316195532,"l1d_access":968153117
-0000062824 |,"l1d_refill":708617,"l2d_refill":653736}}
-0000062756 |{"timestamp":144560359,"fuel":25000000,"run_idx":0,"refuel_idx":1,"intruder_break":false,"intruder_set_mask":1022,"dt":2394058,"df":25000000,"acc_t":4694341,"acc_f":50000000,"perf_info":{"cycles":2488624110,"instr":2414436796,"l1d_access":100047517
-0000062329 |4,"l1d_refill":1250591,"l2d_refill":577470}}
-0000062257 |{"timestamp":146923467,"fuel":25000000,"run_idx":0,"refuel_idx":2,"intruder_break":false,"intruder_set_mask":1020,"dt":2363094,"df":25000000,"acc_t":7057435,"acc_f":75000000,"perf_info":{"cycles":2456436888,"instr":2414437073,"l1d_access":100047527
-0000061821 |1,"l1d_refill":1240751,"l2d_refill":290557}}
-0000061750 |{"timestamp":149274217,"fuel":25000000,"run_idx":0,"refuel_idx":3,"intruder_break":false,"intruder_set_mask":1016,"dt":2350737,"df":25000000,"acc_t":9408172,"acc_f":100000000,"perf_info":{"cycles":2443591241,"instr":2414436427,"l1d_access":10004750
-0000061315 |64,"l1d_refill":1244628,"l2d_refill":130294}}
-0000061236 |{"timestamp":151614592,"fuel":25000000,"run_idx":0,"refuel_idx":4,"intruder_break":false,"intruder_set_mask":1008,"dt":2340364,"df":25000000,"acc_t":11748536,"acc_f":125000000,"perf_info":{"cycles":2432808412,"instr":2414437053,"l1d_access":1000475
-0000060805 |260,"l1d_refill":1236457,"l2d_refill":80487}}
-0000060728 |{"timestamp":154070576,"fuel":25000000,"run_idx":0,"refuel_idx":5,"intruder_break":false,"intruder_set_mask":1023,"dt":2455973,"df":25000000,"acc_t":14204509,"acc_f":150000000,"perf_info":{"cycles":2552984310,"instr":2414436794,"l1d_access":1000475
-0000060297 |176,"l1d_refill":1236487,"l2d_refill":1141895}}
-0000060215 |{"timestamp":156464774,"fuel":25000000,"run_idx":0,"refuel_idx":6,"intruder_break":false,"intruder_set_mask":1022,"dt":2394185,"df":25000000,"acc_t":16598694,"acc_f":175000000,"perf_info":{"cycles":2488755419,"instr":2414437069,"l1d_access":1000475
-0000059784 |263,"l1d_refill":1242550,"l2d_refill":585546}}
-0000059704 |{"timestamp":158830335,"fuel":25000000,"run_idx":0,"refuel_idx":7,"intruder_break":false,"intruder_set_mask":1020,"dt":2365548,"df":25000000,"acc_t":18964242,"acc_f":200000000,"perf_info":{"cycles":2458988004,"instr":2414436667,"l1d_access":1000475
-0000059273 |138,"l1d_refill":1247013,"l2d_refill":301119}}
-0000059198 |{"timestamp":161172317,"fuel":25000000,"run_idx":0,"refuel_idx":8,"intruder_break":false,"intruder_set_mask":1016,"dt":2341970,"df":25000000,"acc_t":21306212,"acc_f":225000000,"perf_info":{"cycles":2434477207,"instr":2414437073,"l1d_access":1000475
-0000058784 |270,"l1d_refill":1251056,"l2d_refill":134850}}
-0000058687 |{"timestamp":163506372,"fuel":25000000,"run_idx":0,"refuel_idx":9,"intruder_break":false,"intruder_set_mask":1008,"dt":2334044,"df":25000000,"acc_t":23640256,"acc_f":250000000,"perf_info":{"cycles":2426239488,"instr":2414436794,"l1d_access":1000475
-0000058273 |176,"l1d_refill":1233978,"l2d_refill":81054}}
-0000058200 |{"timestamp":165962231,"fuel":25000000,"run_idx":0,"refuel_idx":10,"intruder_break":false,"intruder_set_mask":1023,"dt":2455848,"df":25000000,"acc_t":26096104,"acc_f":275000000,"perf_info":{"cycles":2552854221,"instr":2414436808,"l1d_access":100047
-0000057772 |5185,"l1d_refill":1244450,"l2d_refill":1143777}}
-0000057693 |{"timestamp":168362111,"fuel":25000000,"run_idx":0,"refuel_idx":11,"intruder_break":false,"intruder_set_mask":1022,"dt":2399867,"df":25000000,"acc_t":28495971,"acc_f":300000000,"perf_info":{"cycles":2494661436,"instr":2414436733,"l1d_access":100047
-0000057258 |5174,"l1d_refill":1252721,"l2d_refill":577976}}
-0000057182 |{"timestamp":170726219,"fuel":25000000,"run_idx":0,"refuel_idx":12,"intruder_break":false,"intruder_set_mask":1020,"dt":2364095,"df":25000000,"acc_t":30860066,"acc_f":325000000,"perf_info":{"cycles":2457476996,"instr":2414437024,"l1d_access":100047
-0000056747 |5245,"l1d_refill":1241680,"l2d_refill":291609}}
-0000056670 |{"timestamp":173076352,"fuel":25000000,"run_idx":0,"refuel_idx":13,"intruder_break":false,"intruder_set_mask":1016,"dt":2350121,"df":25000000,"acc_t":33210187,"acc_f":350000000,"perf_info":{"cycles":2442951334,"instr":2414436798,"l1d_access":100047
-0000056234 |5179,"l1d_refill":1240936,"l2d_refill":162139}}
-0000056158 |{"timestamp":175411844,"fuel":25000000,"run_idx":0,"refuel_idx":14,"intruder_break":false,"intruder_set_mask":1008,"dt":2335480,"df":25000000,"acc_t":35545667,"acc_f":375000000,"perf_info":{"cycles":2427731407,"instr":2414437084,"l1d_access":100047
-0000055722 |5276,"l1d_refill":1244062,"l2d_refill":65206}}
-0000055647 |{"timestamp":177872589,"fuel":25000000,"run_idx":0,"refuel_idx":15,"intruder_break":false,"intruder_set_mask":1023,"dt":2460735,"df":25000000,"acc_t":38006402,"acc_f":400000000,"perf_info":{"cycles":2557933519,"instr":2414436426,"l1d_access":100047
-0000055211 |5060,"l1d_refill":1248750,"l2d_refill":1141578}}
-0000055134 |{"timestamp":180267956,"fuel":25000000,"run_idx":0,"refuel_idx":16,"intruder_break":false,"intruder_set_mask":1022,"dt":2395354,"df":25000000,"acc_t":40401756,"acc_f":425000000,"perf_info":{"cycles":2489969893,"instr":2414436705,"l1d_access":100047
-0000054698 |5158,"l1d_refill":1242368,"l2d_refill":584096}}
-0000054621 |{"timestamp":182631257,"fuel":25000000,"run_idx":0,"refuel_idx":17,"intruder_break":false,"intruder_set_mask":1020,"dt":2363288,"df":25000000,"acc_t":42765044,"acc_f":450000000,"perf_info":{"cycles":2456638827,"instr":2414437171,"l1d_access":100047
-0000054185 |5294,"l1d_refill":1246237,"l2d_refill":292564}}
